id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
92,91 Aquarii b,144,3.2 Jupiters,4.23946,2013
93,AB Aurigae b,529,9 Jupiters,7.076,2022
94,AB Pictoris b,163,13.5 Jupiters,9.13,2005
95,AF Leporis b,88,5.237 Jupiters,6.332,2023
96,Alpha Arietis b,66,1.8 Jupiters,2.00538,2010
97,Alpha Tauri b,67,6.47 Jupiters,0.872,2015
98,AU Microscopii b,32,20.12 Earths,8.81,2020
99,AU Microscopii c,32,9.6 Earths,8.81,2021
100,b Centauri AB b,320,10.9 Jupiters,4.01,2021
101,BD-00 4475 b,139,25.05 Jupiters,9.01,2021
102,BD+03 2562 b,3492,6.4 Jupiters,9.577,2017
103,BD-06 1339 b,66,8.5 Earths,9.7,2013
104,BD-06 1339 c,66,0.17 Jupiters,9.7,2013
105,BD-08 2823 b,135,12.7132 Earths,9.86,2009
106,BD-08 2823 c,135,0.33 Jupiters,9.86,2009
107,BD-10 3166 b,275,0.59 Jupiters,10.013,2000
108,BD-11 4672 b,89,0.65 Jupiters,10.03,2014
109,BD-11 4672 c,89,15.37 Earths,10.03,2020
110,BD-13 2130 b,3018,9.78 Jupiters,10.038,2007
111,BD+14 4559 b,161,1.04 Jupiters,9.78,2009
112,BD+15 2375 b,2505,1.061 Jupiters,10.41,2016
113,BD+15 2940 b,1391,1.11 Jupiters,9.01,2013
114,BD-17 63 b,112,5.1 Jupiters,9.62,2008
115,BD+20 2457 b,5023,21.42 Jupiters,9.743,2009
116,BD+20 2457 c,5023,12.47 Jupiters,9.743,2009
117,BD+20 274 b,4314,4.2 Jupiters,9.367,2012
118,BD+20 594 b,585,22.2481 Earths,10.849,2016
119,BD+45 564 b,175,1.36 Jupiters,9.67,2021
120,BD+48 738 b,2843,0.91 Jupiters,9.139,2011
121,BD+48 740 b,2174,1.7 Jupiters,8.69,2018
122,BD+49 828 b,1442,1.6 Jupiters,9.381,2015
123,BD+55 362 b,171,0.72 Jupiters,9.38,2021
124,BD+60 1417 b,147,15 Jupiters,9.374,2021
125,b Centauri AB b,320,10.9 Jupiters,4.01,2021
126,BD-00 4475 b,139,25.05 Jupiters,9.01,2021
127,BD+03 2562 b,3492,6.4 Jupiters,9.577,2017
128,BD-06 1339 b,66,8.5 Earths,9.7,2013
129,BD-06 1339 c,66,0.17 Jupiters,9.7,2013
130,BD-08 2823 b,135,12.7132 Earths,9.86,2009
131,BD-08 2823 c,135,0.33 Jupiters,9.86,2009
132,BD-10 3166 b,275,0.59 Jupiters,10.013,2000
133,BD-11 4672 b,89,0.65 Jupiters,10.03,2014
134,BD-11 4672 c,89,15.37 Earths,10.03,2020
135,BD-13 2130 b,3018,9.78 Jupiters,10.038,2007
136,BD+14 4559 b,161,1.04 Jupiters,9.78,2009
137,BD+15 2375 b,2505,1.061 Jupiters,10.41,2016
138,BD+15 2940 b,1391,1.11 Jupiters,9.01,2013
139,BD-17 63 b,112,5.1 Jupiters,9.62,2008
140,BD+20 2457 b,5023,21.42 Jupiters,9.743,2009
141,BD+20 2457 c,5023,12.47 Jupiters,9.743,2009
142,BD+20 274 b,4314,4.2 Jupiters,9.367,2012
143,BD+20 594 b,585,22.2481 Earths,10.849,2016
144,BD+45 564 b,175,1.36 Jupiters,9.67,2021
145,BD+48 738 b,2843,0.91 Jupiters,9.139,2011
